#device=ESP32+AD8232
#cols=t_ms,adc,lead_off
516846,305,0
516850,550,0
516854,480,0
516858,230,0
516862,260,0
516866,472,0
516870,502,0
516874,189,0
516878,137,0
516882,348,0
516886,423,0
516890,163,0
516894,80,0
516898,272,0
516902,415,0
516906,202,0
516910,35,0
516914,213,0
516918,379,0
516922,189,0
516926,0,0
516930,85,0
516934,285,0
516938,127,0
516942,0,0
516946,0,0
516950,63,0
516954,0,0
516958,0,0
516962,0,0
516966,0,0
516970,0,0
516974,0,0
516978,0,0
516982,0,0
516986,0,0
516990,0,0
516994,0,0
516998,0,0
517002,0,0
517006,0,0
517010,0,0
517014,3,0
517018,113,0
517022,0,0
517026,0,0
517030,0,0
517034,119,0
517038,4,0
517042,0,0
517046,0,0
517050,155,0
517054,116,0
517058,0,0
517062,0,0
517066,251,0
517070,284,0
517074,21,0
517078,30,0
517082,304,0
517086,387,0
517090,149,0
517094,116,0
517098,303,0
517102,422,0
517106,246,0
517110,133,0
517114,320,0
517118,457,0
517122,274,0
517126,93,0
517130,184,0
517134,375,0
517138,239,0
517142,0,0
517146,7,0
517150,204,0
517154,137,0
517158,0,0
517162,0,0
517166,103,0
517170,108,0
517174,0,0
517178,0,0
517182,79,0
517186,135,0
517190,0,0
517194,0,0
517198,42,0
517202,101,0
517206,0,0
517210,0,0
517214,0,0
517218,71,0
517222,0,0
517226,0,0
517230,0,0
517234,96,0
517238,0,0
517242,0,0
517246,0,0
517250,111,0
517254,41,0
517258,0,0
517262,0,0
517266,93,0
517270,106,0
517274,0,0
517278,0,0
517282,91,0
517286,155,0
517290,0,0
517294,0,0
517298,26,0
517302,112,0
517306,0,0
517310,0,0
517314,12,0
517318,125,0
517322,0,0
517326,0,0
517330,0,0
517334,118,0
517338,0,0
517342,0,0
517346,0,0
517350,85,0
517354,0,0
517358,0,0
517362,0,0
517366,89,0
517370,50,0
517374,0,0
517378,0,0
517382,66,0
517386,107,0
517390,0,0
517394,0,0
517398,16,0
517402,38,0
517406,0,0
517410,0,0
517414,0,0
517418,64,0
517422,0,0
517426,0,0
517430,0,0
517434,82,0
517438,0,0
517442,0,0
517446,0,0
517450,73,0
517454,0,0
517458,0,0
517462,0,0
517466,57,0
517470,10,0
517474,0,0
517478,0,0
517482,45,0
517486,50,0
517490,0,0
517494,0,0
517498,28,0
517502,77,0
517506,0,0
517510,0,0
517514,13,0
517518,108,0
517522,0,0
517526,0,0
517530,0,0
517534,94,0
517538,0,0
517542,0,0
517546,0,0
517550,82,0
517554,19,0
517558,0,0
517562,0,0
517566,77,0
517570,66,0
517574,0,0
517578,0,0
517582,68,0
517586,80,0
517590,0,0
517594,0,0
517598,41,0
517602,76,0
517606,0,0
517610,0,0
517614,18,0
517618,103,0
517622,0,0
517626,0,0
517630,0,0
517634,97,0
517638,0,0
517642,0,0
517646,0,0
517650,89,0
517654,11,0
517658,0,0
517662,0,0
517666,60,0
517670,42,0
517674,0,0
517678,0,0
517682,50,0
517686,80,0
517690,0,0
517694,0,0
517698,49,0
517702,101,0
517706,0,0
517710,0,0
517714,10,0
517718,110,0
517722,0,0
517726,0,0
517730,10,0
517734,113,0
517738,0,0
517742,0,0
517746,0,0
517750,93,0
517754,1,0
517758,0,0
517762,0,0
517766,53,0
517770,19,0
517774,0,0
517778,0,0
517782,3,0
517786,9,0
517790,0,0
517794,0,0
517798,0,0
517802,0,0
517806,0,0
517810,0,0
517814,0,0
517818,0,0
517822,0,0
517826,0,0
517830,0,0
517834,0,0
517838,0,0
517842,0,0
517846,0,0
517850,23,0
517854,0,0
517858,0,0
517862,0,0
517866,282,0
517870,292,0
517874,15,0
517878,9,0
517882,243,0
517886,292,0
517890,45,0
517894,0,0
517898,162,0
517902,210,0
517906,0,0
517910,0,0
517914,0,0
517918,79,0
517922,0,0
517926,0,0
517930,0,0
517934,103,0
517938,0,0
517942,0,0
517946,0,0
517950,122,0
517954,32,0
517958,0,0
517962,0,0
517966,134,0
517970,120,0
517974,0,0
517978,0,0
517982,125,0
517986,145,0
517990,0,0
517994,0,0
517998,60,0
518002,36,0
518006,0,0
518010,0,0
518014,12,0
518018,78,0
518022,0,0
518026,0,0
518030,0,0
518034,85,0
518038,0,0
518042,0,0
518046,0,0
518050,80,0
518054,26,0
518058,0,0
518062,0,0
518066,98,0
518070,83,0
518074,0,0
518078,0,0
518082,99,0
518086,151,0
518090,0,0
518094,0,0
518098,124,0
518102,218,0
518106,36,0
518110,0,0
518114,187,0
518118,348,0
518122,160,0
518126,0,0
518130,84,0
518134,239,0
518138,85,0
518142,0,0
518146,0,0
518150,145,0
518154,66,0
518158,0,0
518162,0,0
518166,81,0
518170,63,0
518174,0,0
518178,0,0
518182,36,0
518186,77,0
518190,0,0
518194,0,0
518198,13,0
518202,91,0
518206,0,0
518210,0,0
518214,22,0
518218,120,0
518222,0,0
518226,0,0
518230,2,0
518234,115,0
518238,0,0
518242,0,0
518246,0,0
518250,108,0
518254,12,0
518258,0,0
518262,0,0
518266,85,0
518270,47,0
518274,0,0
518278,0,0
518282,56,0
518286,65,0
518290,0,0
518294,0,0
518298,25,0
518302,83,0
518306,0,0
518310,0,0
518314,5,0
518318,115,0
518322,0,0
518326,0,0
518330,0,0
518334,113,0
518338,0,0
518342,0,0
518346,0,0
518350,101,0
518354,0,0
518358,0,0
518362,0,0
518366,55,0
518370,0,0
518374,0,0
518378,0,0
518382,0,0
518386,0,0
518390,0,0
518394,0,0
518398,0,0
518402,9,0
518406,0,0
518410,0,0
518414,0,0
518418,59,0
518422,0,0
518426,0,0
518430,0,0
518434,91,0
518438,0,0
518442,0,0
518446,0,0
518450,91,0
518454,0,0
518458,0,0
518462,0,0
518466,50,0
518470,7,0
518474,0,0
518478,0,0
518482,62,0
518486,82,0
518490,0,0
518494,0,0
518498,54,0
518502,94,0
518506,0,0
518510,0,0
518514,45,0
518518,158,0
518522,4,0
518526,0,0
518530,29,0
518534,197,0
518538,84,0
518542,0,0
518546,27,0
518550,193,0
518554,120,0
518558,0,0
518562,0,0
518566,96,0
518570,92,0
518574,0,0
518578,0,0
518582,66,0
518586,112,0
518590,0,0
518594,0,0
518598,39,0
